ticker,date,comp,trend,entry,stop,target,exit,outcome,pnl_pct
TUPRS,2024-10-04,5,strong_up,135.5136,130.655,145.2309,130.655,stop,-3.585
TUPRS,2024-12-03,5,up,130.1001,126.0072,138.2858,126.0072,stop,-3.146
TUPRS,2025-01-03,5,up,131.0605,127.2115,138.7587,127.2115,stop,-2.937
TUPRS,2025-03-07,5,up,122.2417,117.5754,131.5743,117.5754,stop,-3.817
TUPRS,2025-05-09,5,up,120.1767,114.9232,130.6836,114.9232,stop,-4.371
TUPRS,2025-06-04,5,up,121.008,115.8759,131.2722,131.2722,target,8.482
TUPRS,2025-06-24,6,up,127.2894,120.356,141.1562,141.1562,target,10.894
TTKOM,2024-06-03,5,strong_up,47.36,45.0386,52.0028,45.0386,stop,-4.902
TTKOM,2024-06-10,5,strong_up,45.56,42.7038,51.2724,51.2724,target,12.538
TTKOM,2024-06-24,6,strong_up,49.0,45.8738,55.2523,50.75,timeout,3.571
TTKOM,2024-06-25,5,strong_up,49.54,46.4582,55.7036,51.0,timeout,2.947
TTKOM,2024-06-26,6,strong_up,48.5,45.3576,54.7848,51.0,timeout,5.155
TTKOM,2024-06-27,5,strong_up,48.12,45.0671,54.2259,51.6,timeout,7.232
TTKOM,2024-06-28,6,strong_up,48.88,45.9209,54.7983,52.35,timeout,7.099
